2024-04-23T21:51:25.799Z - Method: GET, URL: /, Status Code: 200
2024-04-24T01:44:01.327Z - Method: GET, URL: /favicon.ico, Status Code: 200
2024-04-26T11:15:02.395Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:16:15.496Z - Method: GET, URL: /user/, Status Code: 200
2024-04-26T11:16:21.401Z - Method: GET, URL: /user, Status Code: 200
2024-04-26T11:16:33.995Z - Method: GET, URL: /user:id, Status Code: 200
2024-04-26T11:16:45.556Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:17:20.050Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:18:15.419Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:19:53.703Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:19:55.338Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:20:21.550Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:20:22.856Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:20:23.941Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:28:16.904Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:30:06.492Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:31:09.870Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:31:36.468Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:32:51.787Z - Method: GET, URL: /user/100, Status Code: 200
2024-04-26T11:33:17.012Z - Method: GET, URL: /user/100, Status Code: 200
